MC01_c,MC02_c,MC03_c,MC04_c,WFc01_c,PK_State_Average
1,0,1,1,NY,0.7316810344827587
1,1,1,1,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
0,0,1,0,WV,0.6484375
1,1,1,1,KS,0.75
1,0,1,1,WI,0.7091346153846154
1,1,1,1,WI,0.7091346153846154
1,1,1,1,OH,0.6855828220858896
1,1,1,1,MI,0.7061068702290076
0,1,0,1,IL,0.6966911764705882
1,0,1,1,UT,0.756578947368421
0,0,1,1,WA,0.7172619047619048
1,1,1,1,DC,0.625
1,0,1,1,NY,0.7316810344827587
1,1,1,1,PA,0.6622222222222223
1,1,1,1,MA,0.7105263157894737
0,0,0,0,WI,0.7091346153846154
1,1,1,1,FL,0.680628272251309
1,1,0,0,PA,0.6622222222222223
1,1,1,1,TN,0.6728723404255319
1,0,1,1,NJ,0.7
1,0,1,1,PA,0.6622222222222223
1,0,1,0,UT,0.756578947368421
1,1,0,1,NY,0.7316810344827587
1,0,1,1,WA,0.7172619047619048
1,0,1,1,IN,0.6658415841584159
1,1,1,1,IL,0.6966911764705882
1,0,1,1,CA,0.7258566978193146
1,1,1,1,VA,0.7158119658119658
1,0,1,1,UT,0.756578947368421
1,1,1,1,WA,0.7172619047619048
1,1,0,1,IN,0.6658415841584159
1,1,1,1,FL,0.680628272251309
1,0,1,1,MO,0.7005208333333334
0,0,0,0,FL,0.680628272251309
1,0,1,1,LA,0.6217948717948718
1,0,1,1,OH,0.6855828220858896
1,0,1,1,MA,0.7105263157894737
1,0,1,1,VA,0.7158119658119658
1,1,0,1,GA,0.6039603960396039
1,1,1,1,NM,0.6944444444444444
1,0,1,1,MI,0.7061068702290076
0,0,0,1,FL,0.680628272251309
1,0,0,1,IL,0.6966911764705882
1,1,1,1,CA,0.7258566978193146
1,0,1,1,SC,0.7067307692307693
1,0,1,1,GA,0.6039603960396039
0,1,0,0,OR,0.6610169491525424
1,1,1,1,CA,0.7258566978193146
1,0,1,1,GA,0.6039603960396039
1,1,1,1,WA,0.7172619047619048
1,0,1,1,IN,0.6658415841584159
1,1,1,1,FL,0.680628272251309
0,0,0,0,OH,0.6855828220858896
1,0,1,1,GA,0.6039603960396039
0,0,1,0,LA,0.6217948717948718
0,0,0,0,IN,0.6658415841584159
1,0,1,1,NC,0.6365384615384615
0,1,1,1,CA,0.7258566978193146
1,1,1,1,KY,0.631578947368421
1,0,1,1,NY,0.7316810344827587
1,1,1,1,NY,0.7316810344827587
1,1,1,1,FL,0.680628272251309
1,0,1,1,CA,0.7258566978193146
1,1,1,0,CO,0.7090163934426229
0,0,0,1,AL,0.6111111111111112
0,0,1,1,CO,0.7090163934426229
1,0,0,1,PA,0.6622222222222223
1,1,1,1,KS,0.75
1,1,1,1,AZ,0.7268518518518519
1,1,1,1,OR,0.6610169491525424
1,1,1,1,WI,0.7091346153846154
0,0,1,1,MI,0.7061068702290076
1,1,0,1,IN,0.6658415841584159
1,0,1,1,MN,0.7476190476190476
1,1,1,1,CA,0.7258566978193146
1,1,1,1,NY,0.7316810344827587
1,1,1,1,KY,0.631578947368421
1,0,1,1,OK,0.6363636363636364
1,1,1,1,NC,0.6365384615384615
1,1,1,1,IN,0.6658415841584159
1,0,1,1,NY,0.7316810344827587
0,0,1,1,TX,0.6930051813471503
1,0,1,1,ME,0.8484848484848485
1,1,1,1,IN,0.6658415841584159
1,1,1,1,WI,0.7091346153846154
